Ruoli Tradizionali-CAPACITY & AVAILABILITY  MGMT-Capacity & Availability Specialist,11
Ruoli Strategici-CLOUD INFRASTRUCTURE-Cloud Mgmt Platform & Contract Expert,0
Ruoli Strategici-CLOUD INFRASTRUCTURE-Cloud Service Broker Specialist,4
Ruoli Strategici-CLOUD INFRASTRUCTURE-Private & Public Cloud Infrastructure Architect,0
Ruoli Strategici-COLLABORATION SOLUTION-Collaboration Specialist,17
Ruoli Strategici-DATA COMUNICATION-Data Communication Engineer,15
Ruoli Strategici-DATA COMUNICATION-Data Communication Specialist,8
Ruoli Tradizionali-DATA COMUNICATION-Data Communication Engineer,15
Ruoli Tradizionali-DATA COMUNICATION-Data Communication Specialist,14
Ruoli Strategici-DATA INFRASTRUCTURE-Data Base Administrator,62
Ruoli Strategici-DATA INFRASTRUCTURE-Data Management Specialist,0
Ruoli Strategici-DATA INFRASTRUCTURE-Data Solution Architect,5
Ruoli Strategici-DATA INFRASTRUCTURE-Infrastructure Data Analyst/Scientist ,11
Ruoli Tradizionali-DATA INFRASTRUCTURE-Data Base Administrator,62
Ruoli Tradizionali-DATA INFRASTRUCTURE-Data Management Specialist,0
Ruoli Tradizionali-DATA INFRASTRUCTURE-Data Solution Architect,5
Ruoli Tradizionali-DATA INFRASTRUCTURE-Infrastructure Data Analyst/Scientist ,11
Ruoli Tradizionali-DATACENTER INFRASTRUCTURE-Data Center Operator ,138
Ruoli Tradizionali-DATACENTER INFRASTRUCTURE-Data Center System Engineer,2
Ruoli Tradizionali-DATACENTER INFRASTRUCTURE-Data Center System Specialist,196
Ruoli Tradizionali-DATACENTER INFRASTRUCTURE-Scheduling Specialist,20
Ruoli Strategici-DEVOPS INFRASTRUCTURE-API Specialist,2
Ruoli Strategici-DEVOPS INFRASTRUCTURE-Build and Deploy Engineer,12
Ruoli Strategici-DEVOPS INFRASTRUCTURE-Build and Deploy Specialist,6
Ruoli Strategici-DEVOPS INFRASTRUCTURE-DevOps Operator,2
Ruoli Strategici-DEVOPS INFRASTRUCTURE-DevOps Specialist,6
Ruoli Strategici-DEVOPS INFRASTRUCTURE-Functional Testing Engineer,3
Ruoli Strategici-DEVOPS INFRASTRUCTURE-Infrastructure Referent Application Transformation,8
Ruoli Strategici-DEVOPS INFRASTRUCTURE-Mobile Specialist ,0
Ruoli Strategici-DEVOPS INFRASTRUCTURE-PaaS & Container Specialist,7
Ruoli Strategici-DEVOPS INFRASTRUCTURE-Performance Test Specialist ,2
Ruoli Strategici-DEVOPS INFRASTRUCTURE-Test Automation Specialist,10
Ruoli Tradizionali-DR&BC INFRASTRUCTURE-DR & Business Continuity Engineer,0
Ruoli Tradizionali-DR&BC INFRASTRUCTURE-DR & Business Continuity Specialist,5
Ruoli Tradizionali-END USER INFRASTRUCTURE-End User IMAC Specialist,0
Ruoli Tradizionali-END USER INFRASTRUCTURE-End User Operator,0
Ruoli Tradizionali-END USER INFRASTRUCTURE-End User System Engineer ,0
Ruoli Strategici-INFRASTRUCTURE AUTOMATION AND CONFIGURATION-DataCenter Automation Specialist,1
Ruoli Strategici-INFRASTRUCTURE AUTOMATION AND CONFIGURATION-End User Automation Specialist,0
Ruoli Strategici-INFRASTRUCTURE AUTOMATION AND CONFIGURATION-Configuration Specialist,0
Ruoli Tradizionali-INFRASTRUCTURE FINANTIAL & CONTRACTS-Infrastructure Contract Specialist,2
Ruoli Tradizionali-INFRASTRUCTURE FINANTIAL & CONTRACTS-Infrastructure Financial Specialist,16
Ruoli Strategici-INFRASTRUCTURE for INNOVATION TECHONLOGY-Artificial Intelligence Specialist,1
Ruoli Strategici-INFRASTRUCTURE for INNOVATION TECHONLOGY-Blockchain Specialist,2
Ruoli Strategici-INFRASTRUCTURE for INNOVATION TECHONLOGY-IoT Specialist,0
Ruoli Strategici-INFRASTRUCTURE for INNOVATION TECHONLOGY-Technology Innovation Expert,0
Ruoli Tradizionali-INFRASTRUCTURE MONITORING-Monitoring Infrastructure engineer,9
Ruoli Tradizionali-INFRASTRUCTURE SERVICE MANAGEMENT-Problem Manager,3
Ruoli Tradizionali-INFRASTRUCTURE SERVICE MANAGEMENT-Service Catalog Manager,0
Ruoli Tradizionali-INFRASTRUCTURE SERVICE MANAGEMENT-Service Owner,5
Ruoli Strategici-INFRASTRUCTURE TRANSFORMATION-Delivery Manager,9
Ruoli Strategici-INFRASTRUCTURE TRANSFORMATION-IT Supplier Relationship Manager,0
Ruoli Strategici-INFRASTRUCTURE TRANSFORMATION-ITO Process Specialist,13
Ruoli Strategici-INFRASTRUCTURE TRANSFORMATION-Knowledge Management specialist,1
Ruoli Strategici-INFRASTRUCTURE TRANSFORMATION-Open Source Software Specialist,0
Ruoli Strategici-INFRASTRUCTURE TRANSFORMATION-Program & Transition Manager,5
Ruoli Strategici-INFRASTRUCTURE TRANSFORMATION-Project Manager ,64
Ruoli Strategici-INFRASTRUCTURE TRANSFORMATION-Infrastructure Solution Architect,35
Ruoli Tradizionali-NETWORK INFRASTRUCTURE-Network System Engineer,12
Ruoli Tradizionali-NETWORK INFRASTRUCTURE-Network Automation Specialist,14
Ruoli Tradizionali-SECURITY INFRASTRUCTURE-Security Infrastructure Specialist,5
Ruoli Strategici-SOFTWARE DEFINED INFRASTRUCTURE-Software Defined Data Center Specialist ,3
Ruoli Strategici-SOFTWARE DEFINED INFRASTRUCTURE-Software Defined Network Specialist,1
Ruoli Strategici-SOFTWARE DEFINED INFRASTRUCTURE-Software Defined Storage Specialist,5
